PC1,PC2,Tipologia 2017,Edo,Dto,Edo_Dto,Cluster,Selected
continuous,continuous,discrete,string,string,string,discrete,discrete
,,class,meta,meta,meta,,meta
-0.897087496,-0.792044836,Dispersos 1,Aguascalientes,1,AGS-01,C3,Yes
1.860080753,-1.384072931,Concentrados 1,Aguascalientes,2,AGS-02,C6,Yes
2.353873582,0.850134415,Concentrados 2,Aguascalientes,3,AGS-03,C8,Yes
1.359518158,-0.033336396,Concentrados 2,Baja California,1,BC-01,C7,Yes
2.772659578,1.127105004,Concentrados 1,Baja California,2,BC-02,C9,Yes
-0.857160265,1.758735763,Dispersos 2,Baja California,3,BC-03,C3,Yes
2.063452851,-0.780914165,Concentrados 2,Baja California,4,BC-04,C6,Yes
3.249557286,1.01403052,Altamente concentrado 2,Baja California,5,BC-05,C9,Yes
2.772771532,0.516396104,Concentrados 1,Baja California,6,BC-06,C8,Yes
0.056928437,0.757015131,Dispersos 1,Baja California,7,BC-07,C7,Yes
2.392117098,-0.163979158,Concentrados 1,Baja California,8,BC-08,C8,Yes
-4.046406789,2.302412324,Muy dispersos 2,Baja California Sur,1,BCS-01,C1,Yes
-1.268981253,-1.774947962,Dispersos 2,Baja California Sur,2,BCS-02,C5,Yes
-0.594873413,1.137168693,Dispersos 1,Campeche,1,CAMP-01,C3,Yes
-2.432026792,1.098499176,Muy dispersos 1,Campeche,2,CAMP-02,C2,Yes
-0.739224024,0.349339135,Dispersos 1,Coahuila,1,COAH-01,C3,Yes
-4.322759574,2.56409393,Muy dispersos 2,Coahuila,2,COAH-02,C1,Yes
-0.37519664,0.218919539,Concentración Media,Coahuila,3,COAH-03,C3,Yes
1.328619694,-0.395060738,Concentrados 2,Coahuila,4,COAH-04,C7,Yes
2.305458872,0.407991068,Altamente concentrado 2,Coahuila,5,COAH-05,C8,Yes
-1.225887165,-1.623509676,Concentración Media,Coahuila,6,COAH-06,C5,Yes
-0.355293862,0.099608327,Dispersos 1,Coahuila,7,COAH-07,C3,Yes
0.850098756,-0.638636051,Concentrados 2,Colima,1,COL-01,C6,Yes
0.048326763,-1.735927708,Concentración Media,Colima,2,COL-02,C7,Yes
-3.652168792,-1.503758161,Muy dispersos 1,Chiapas,1,CHIS-01,C4,Yes
-4.31769543,-2.143692632,Dispersos 2,Chiapas,2,CHIS-02,C4,Yes
-4.790644631,-1.623092782,Muy dispersos 1,Chiapas,3,CHIS-03,C4,Yes
-3.606676052,-0.927125469,Dispersos 2,Chiapas,4,CHIS-04,C4,Yes
-2.164408091,-2.060257466,Concentración Media,Chiapas,5,CHIS-05,C5,Yes
-0.643692753,-0.384097304,Dispersos 1,Chiapas,6,CHIS-06,C3,Yes
-2.76523514,0.315077628,Muy dispersos 1,Chiapas,7,CHIS-07,C2,Yes
-2.087918971,-0.398688799,Dispersos 2,Chiapas,8,CHIS-08,C5,Yes
1.149073716,-0.707048431,Altamente concentrado 2,Chiapas,9,CHIS-09,C6,Yes
-3.057652345,0.01849832,Muy dispersos 1,Chiapas,10,CHIS-10,C2,Yes
-4.132769198,-2.68512787,Dispersos 2,Chiapas,11,CHIS-11,C4,Yes
0.119068649,-0.541178307,Concentración Media,Chiapas,12,CHIS-12,C7,Yes
-4.215803179,-0.638752867,Muy dispersos 1,Chiapas,13,CHIS-13,C4,Yes
2.031506598,-1.874401216,Altamente concentrado 2,Chihuahua,1,CHIH-01,C6,Yes
-2.169940465,0.553755797,Muy dispersos 1,Chihuahua,2,CHIH-02,C2,Yes
1.718857067,-0.968169546,Concentrados 1,Chihuahua,3,CHIH-03,C6,Yes
2.16911195,0.513224806,Altamente concentrado 2,Chihuahua,4,CHIH-04,C8,Yes
-2.192925597,2.619518617,Muy dispersos 1,Chihuahua,5,CHIH-05,C1,Yes
2.64341382,1.337839973,Concentrados 2,Chihuahua,6,CHIH-06,C9,Yes
-3.74330216,2.238514333,Muy dispersos 2,Chihuahua,7,CHIH-07,C1,Yes
2.055293401,-0.011457072,Concentrados 1,Chihuahua,8,CHIH-08,C8,Yes
-4.455854746,1.123800876,Muy dispersos 2,Chihuahua,9,CHIH-09,C1,Yes
