PC1,PC2,Tipologia 2017,Edo,Dto,Edo_Dto,Cluster,Silhouette
continuous,continuous,discrete,string,string,string,discrete,continuous
,,class,meta,meta,meta,meta,meta
-0.8970874959561221,-0.7920448360572186,Dispersos 1,Aguascalientes,1.0,AGS-01,C2,0.6026787862634303
1.8600807525052596,-1.3840729312755278,Concentrados 1,Aguascalientes,2.0,AGS-02,C1,0.6697460598789271
2.353873582023637,0.8501344153422673,Concentrados 2,Aguascalientes,3.0,AGS-03,C1,0.6675023945752188
1.359518157577024,-0.03333639628482726,Concentrados 2,Baja California,1.0,BC-01,C1,0.6618621561111974
2.7726595780917553,1.1271050044664566,Concentrados 1,Baja California,2.0,BC-02,C1,0.6640729805146611
-0.8571602647714307,1.758735762597071,Dispersos 2,Baja California,3.0,BC-03,C2,0.609904528855314
2.063452851183876,-0.7809141645368196,Concentrados 2,Baja California,4.0,BC-04,C1,0.6798575741406689
3.249557285766717,1.0140305198679396,Altamente concentrado 2,Baja California,5.0,BC-05,C1,0.6651726640103276
2.7727715317528525,0.5163961042582357,Concentrados 1,Baja California,6.0,BC-06,C1,0.6747955382095335
0.05692843726015045,0.7570151314207079,Dispersos 1,Baja California,7.0,BC-07,C1,0.4976956964448352
2.3921170984973776,-0.1639791580907745,Concentrados 1,Baja California,8.0,BC-08,C1,0.6815668103924993
-4.046406788760628,2.3024123239406173,Muy dispersos 2,Baja California Sur,1.0,BCS-01,C2,0.6544605069368785
-1.2689812533478966,-1.7749479617903612,Dispersos 2,Baja California Sur,2.0,BCS-02,C2,0.5933972655094355
-0.5948734133962308,1.137168692725439,Dispersos 1,Campeche,1.0,CAMP-01,C2,0.5971703175012234
-2.4320267920045127,1.0984991757693887,Muy dispersos 1,Campeche,2.0,CAMP-02,C2,0.6805112536459421
-0.7392240239906139,0.3493391345318638,Dispersos 1,Coahuila,1.0,COAH-01,C2,0.6150957530091482
-4.32275957445322,2.564093929592524,Muy dispersos 2,Coahuila,2.0,COAH-02,C2,0.6477882701326317
-0.37519663994295305,0.21891953925061888,Concentración Media,Coahuila,3.0,COAH-03,C2,0.5647900864051639
1.3286196939919985,-0.39506073826273835,Concentrados 2,Coahuila,4.0,COAH-04,C1,0.6647965034781236
2.30545887194274,0.4079910676760329,Altamente concentrado 2,Coahuila,5.0,COAH-05,C1,0.6757465446491033
-1.2258871653578176,-1.6235096760541605,Concentración Media,Coahuila,6.0,COAH-06,C2,0.5967332802456409
-0.3552938623484664,0.09960832684404881,Dispersos 1,Coahuila,7.0,COAH-07,C2,0.558481769488912
0.850098756360021,-0.6386360514210417,Concentrados 2,Colima,1.0,COL-01,C1,0.6391177863182576
0.04832676254335316,-1.735927707717002,Concentración Media,Colima,2.0,COL-02,C1,0.5574039704071306
-3.6521687920909,-1.5037581614871722,Muy dispersos 1,Chiapas,1.0,CHIS-01,C2,0.6534093208028099
-4.317695430382234,-2.14369263172952,Dispersos 2,Chiapas,2.0,CHIS-02,C2,0.6360466624293841
-4.790644630980288,-1.623092782066993,Muy dispersos 1,Chiapas,3.0,CHIS-03,C2,0.6421783640650373
-3.606676051959426,-0.9271254688293828,Dispersos 2,Chiapas,4.0,CHIS-04,C2,0.6657274776672432
-2.164408091083652,-2.060257465952878,Concentración Media,Chiapas,5.0,CHIS-05,C2,0.6230761419336588
-0.643692752870093,-0.3840973039491064,Dispersos 1,Chiapas,6.0,CHIS-06,C2,0.5879503991142498
-2.7652351399674657,0.3150776281252278,Muy dispersos 1,Chiapas,7.0,CHIS-07,C2,0.686378149115523
-2.0879189713617166,-0.3986887992899359,Dispersos 2,Chiapas,8.0,CHIS-08,C2,0.6771424867118915
1.149073716398565,-0.7070484314314961,Altamente concentrado 2,Chiapas,9.0,CHIS-09,C1,0.6574487779659453
-3.0576523446948367,0.018498320281532008,Muy dispersos 1,Chiapas,10.0,CHIS-10,C2,0.6833237024777546
-4.132769198081213,-2.6851278698947745,Dispersos 2,Chiapas,11.0,CHIS-11,C2,0.6243655024825742
0.11906864914313307,-0.541178307383329,Concentración Media,Chiapas,12.0,CHIS-12,C1,0.5539631801776824
-4.215803178677126,-0.6387528670107575,Muy dispersos 1,Chiapas,13.0,CHIS-13,C2,0.6632992424144013
2.0315065979581486,-1.8744012159867938,Altamente concentrado 2,Chihuahua,1.0,CHIH-01,C1,0.6598059868074937
-2.169940464939358,0.5537557966772318,Muy dispersos 1,Chihuahua,2.0,CHIH-02,C2,0.6842782516168581
1.7188570674217434,-0.9681695459989504,Concentrados 1,Chihuahua,3.0,CHIH-03,C1,0.6742783392705447
2.1691119495533444,0.5132248057316163,Altamente concentrado 2,Chihuahua,4.0,CHIH-04,C1,0.6725547170809872
-2.1929255974529442,2.61951861711439,Muy dispersos 1,Chihuahua,5.0,CHIH-05,C2,0.6408544052638249
2.6434138200709643,1.3378399730405088,Concentrados 2,Chihuahua,6.0,CHIH-06,C1,0.6584169484265332
-3.7433021595555287,2.2385143330587645,Muy dispersos 2,Chihuahua,7.0,CHIH-07,C2,0.6577179135736657
2.0552934010322677,-0.011457071532837267,Concentrados 1,Chihuahua,8.0,CHIH-08,C1,0.6789095150192923
-4.455854746366726,1.1238008764637455,Muy dispersos 2,Chihuahua,9.0,CHIH-09,C2,0.6633737501714685
2.875631951275896,0.07400828070936834,Altamente concentrado 1,Ciudad De Mexico,1.0,CDMX-01,C1,0.6782175347136259
4.65714153368695,3.267415468075784,Altamente concentrado 1,Ciudad De Mexico,2.0,CDMX-02,C1,0.6157637290152232
4.52293426150137,3.292537583725396,Altamente concentrado 1,Ciudad De Mexico,3.0,CDMX-03,C1,0.6154908633038177
3.0325182969234463,-0.7548149709127706,Altamente concentrado 1,Ciudad De Mexico,4.0,CDMX-04,C1,0.6753949572260168
1.9562031802862714,-0.744128830884694,Concentrados 1,Ciudad De Mexico,5.0,CDMX-05,C1,0.6793729959385875
2.4029218174685893,0.5253423165043051,Altamente concentrado 2,Ciudad De Mexico,6.0,CDMX-06,C1,0.6744161910125474
4.277131035532584,2.4665122052690074,Altamente concentrado 1,Ciudad De Mexico,7.0,CDMX-07,C1,0.6320620547286143
3.932655469860084,0.4450040447569904,Altamente concentrado 1,Ciudad De Mexico,8.0,CDMX-08,C1,0.6635613946444658
2.488788139963536,-0.6366104985027442,Altamente concentrado 2,Ciudad De Mexico,9.0,CDMX-09,C1,0.6809394294781851
3.524988103598945,1.7174440466597924,Altamente concentrado 2,Ciudad De Mexico,10.0,CDMX-10,C1,0.6505272018568874
3.559653447590896,0.9904259744803049,Altamente concentrado 1,Ciudad De Mexico,11.0,CDMX-11,C1,0.6630124202098754
3.877077705783565,0.9510196687818387,Altamente concentrado 1,Ciudad De Mexico,12.0,CDMX-12,C1,0.6599433716384302
